SiteNumber,CountID,CounterType,ChannelDirection,Road,RoadName,Comments,Easting,Northing
6,6c1,Cycle,Channel 1: North West                                     ,Cycle Path,Cinder Lane,,459025,452304
6,6c2,Cycle,Channel 2: South East,Cycle Path,Cinder Lane,,459025,452304
8,8c3,Cycle,Channel 3: Cycles East 1             ,Shared Use,Crichton Avenue,,460122,453499
8,8c4,Cycle,Channel 4: Cycles West 1            ,Shared Use,Crichton Avenue,,460122,453499
8,8c5,Cycle,Channel 5: Cycles East 2             ,Shared Use,Crichton Avenue,,460122,453499
8,8c6,Cycle,Channel 6: Cycles West 2,Shared Use,Crichton Avenue,,460122,453499
19,19c1,Cycle,Channel 1: North To Railway                               ,Cycle Path,Hob Moor,,458921,450410
19,19c2,Cycle,Channel 2: South to Tadcaster Road   ,Cycle Path,Hob Moor,,458921,450410
19,19c3,Cycle,Channel 3: East to Hob Terrace             ,Cycle Path,Hob Moor,,458921,450410
19,19c4,Cycle,Channel 4: West to Tadcaster Road          ,Cycle Path,Hob Moor,,458921,450410
27,27c1,Cycle,Channel 1: South                                    ,Cycle Path,Maple Grove,,460444,450190
27,27c2,Cycle,Channel 2: North ,Cycle Path,Maple Grove,,460444,450190
28,28c1,Cycle,Channel 1: Bridge to Maple                              ,Cycle Path,Millennium Bridge,No longer used,460401,450203
28,28c2,Cycle,Channel 2: Maple to Bridge,Cycle Path,Millennium Bridge,No longer used,460401,450203
28,28c3,Cycle,Channel 3: Bridge to Maple                       ,Cycle Path,Millennium Bridge,No longer used,460401,450203
28,28c4,Cycle,Channel 4: Maple to Bridge                                  ,Cycle Path,Millennium Bridge,No longer used,460401,450203
28,28c5,Cycle,Channel 5: Bridge to St Georges                                 ,Cycle Path,Millennium Bridge,No longer used,460401,450203
28,28c6,Cycle,Channel 6: St Georges to Bridge                               ,Cycle Path,Millennium Bridge,No longer used,460401,450203
28,28c7,Cycle,Channel 7: Bridge to St Georges                              ,Cycle Path,Millennium Bridge,No longer used,460401,450203
28,28c8,Cycle,Channel 8: St Georges to Maple                         ,Cycle Path,Millennium Bridge,No longer used,460401,450203
31,31c2,Cycle,Channel 2: North                                             ,Shared Use,A1237 - Shipton Rd & Millfield Lane,,456948,454246
31,31c4,Cycle,Channel 4: South                ,Shared Use,A1237 - Shipton Rd & Millfield Lane,,456948,454246
38,38c1,Cycle,Channel 1: East                               ,Shared Use,A1237 - Wigginton Rd to Haxby Rd,,460211,456170
38,38c2,Cycle,Channel 2: West,Shared Use,A1237 - Wigginton Rd to Haxby Rd,,460211,456170
43,43c3,Cycle,Channel 3: North East ,On Road,Rawcliffe Lane,,459127,453324
43,43c4,Cycle,Channel 4: South West,On Road,Rawcliffe Lane,,459127,453324
47,47c1,Cycle,Channel 1: North                              ,On Road,Skeldergate Bridge,,460328,451263
47,47c2,Cycle,Channel 2: South,On Road,Skeldergate Bridge,,460328,451263
48,48c1,Cycle,Channel 1: North East                                 ,Cycle Path,St.Georges Field,,460479,451186
48,48c2,Cycle,Channel 2: South West ,Cycle Path,St.Georges Field,,460479,451186
51,51c1,Cycle,Channel 1: East                                       ,Cycle Path,Terrys,,460027,449828
51,51c2,Cycle,Channel 2: West,Cycle Path,Terrys,,460027,449828
58,58c1,Cycle,Channel 1: East                                     ,Shared Use,A1079 Hull Road,,463968,451301
58,58c2,Cycle,Channel 2: West ,Shared Use,A1079 Hull Road,,463968,451301
62,62c1,Cycle,Channel 1: South West                            ,Cycle Path,James Street Orbital Cycle Track,,461163,452177
62,62c2,Cycle,Channel 2: North East ,Cycle Path,James Street Orbital Cycle Track,,461163,452177
63,63c1,Cycle,Channel 1: East                                ,Cycle Path,path connecting Tribune Way to Water Lane,,459483,454794
63,63c2,Cycle,Channel 2: West,Cycle Path,path connecting Tribune Way to Water Lane,,459483,454794
64,64c1,Cycle,Channel 1: East                                ,Cycle Path,path connecting Manor Lane to Hurricane Way,,458329,455191
64,64c2,Cycle,Channel 2: West,Cycle Path,path connecting Manor Lane to Hurricane Way,,458329,455191
65,65c1,Cycle,Channel 1: North East                              ,Cycle Path,Oakdale Road South,,458839,454653
65,65c1,Cycle,Channel 1: North East                              ,Cycle Path,Oakdale Road South,,458839,454653
66,66c1,Cycle,Channel 1: South West                                   ,Cycle Path,Oakdale Road North,,458806,454728
66,66c2,Cycle,Channel 2: North East,Cycle Path,Oakdale Road North,,458806,454728
67,67c1,Cycle,Channel 1: North                            ,Cycle Path,Sterling Road,,459540,455827
67,67c2,Cycle,Channel 2: South,Cycle Path,Sterling Road,,459540,455827
68,68c1,Cycle,Channel 1: North East                                 ,Shared Use,Malton Road (Outbound),,461902,453688
68,68c2,Cycle,Channel 2: South West ,Shared Use,Malton Road (Outbound),,461902,453688
69,69c1,Cycle,Channel 1: North East                             ,Shared Use,Malton Road (Inbound),,461933,453695
69,69c2,Cycle,Channel 2: South West ,Shared Use,Malton Road (Inbound),,461933,453695
